"11002XR             ","Flat Fan                ","Spraying Systems    "
"11004XR             ","Flat Fan                ","Spraying Systems    "
"2080-20             ","Flat Fan                ","Spraying Systems    "
"4006                ","Flat Fan                ","Spraying Systems    "
"4010                ","Flat Fan                ","Spraying Systems    "
"4020                ","Flat Fan                ","Spraying Systems    "
"43H2 D6 trigger A   ","Spray Gun               ","Spraying Systems    "
"43H2 D6 trigger B   ","Spray Gun               ","Spraying Systems    "
"6506                ","Flat Fan                ","Spraying Systems    "
"6510                ","Flat Fan                ","Spraying Systems    "
"6520                ","Flat Fan                ","Spraying Systems    "
"8001                ","Flat Fan                ","Spraying Systems    "
"8002                ","Flat Fan                ","Spraying Systems    "
"8003                ","Flat Fan                ","Spraying Systems    "
"8004                ","Flat Fan                ","Spraying Systems    "
"8004EVS             ","Flat Fan                ","Spraying Systems    "
"8004QC              ","Flat Fan                ","Spraying Systems    "
"8004XR              ","Flat Fan                ","Spraying Systems    "
"8006                ","Flat Fan                ","Spraying Systems    "
"8006XR              ","Flat Fan                ","Spraying Systems    "
"8010                ","Flat Fan                ","Spraying Systems    "
"8010-OC             ","Flat Fan                ","Spraying Systems    "
"8015                ","Flat Fan                ","Spraying Systems    "
"8015XR              ","Flat Fan                ","Spraying Systems    "
"8020                ","Flat Fan                ","Spraying Systems    "
"Accu-Flo 028        ","Solid Stream            ","Bishop Engineering  "
"Accu-Flo 047        ","Solid Stream            ","Bishop Engineering  "
"AgTech Air Shear    ","Mistblower              ","AgTec               "
"Airbi               ","Rotary Sleeve           ","La Sabliere         "
"AU5000              ","Rotary Cage             ","Micronair           "
"AU5000 4000rpm      ","Rotary Cage             ","Micronair           "
"AU5000 6000rpm      ","Rotary Cage             ","Micronair           "
"AU7000              ","Rotary Cage             ","Micronair           "
"Beecomist           ","Rotary Drum             ","Beeco Products      "
"Beecomist 10000rpm  ","Rotary Drum             ","Beeco Products      "
"Beecomist 14000rpm  ","Rotary Drum             ","Beeco Products      "
"CP 0.061            ","Deflector               ","CP Products         "
"CP 0.078            ","Deflector               ","CP Products         "
"CP 0.125            ","Deflector               ","CP Products         "
"CP 0.125 ss         ","Deflector               ","CP Products         "
"CP 0.171            ","Deflector               ","CP Products         "
"CP 0.171 ss         ","Deflector               ","CP Products         "
"CP Plastic          ","Deflector               ","CP Products         "
"CP Plastic Wide     ","Deflector               ","CP Products         "
"CP Steel            ","Deflector               ","CP Products         "
"CP5 Floater         ","Deflector               ","CP Products         "
"CP15 Floater        ","Deflector               ","CP Products         "
"D2                  ","Solid Stream            ","Spraying Systems    "
"D2-23               ","Disc-Core               ","Spraying Systems    "
"D2-25               ","Disc-Core               ","Spraying Systems    "
"D2-45               ","Disc-Core               ","Spraying Systems    "
"D3-45               ","Disc-Core               ","Spraying Systems    "
"D3-46               ","Disc-Core               ","Spraying Systems    "
"D4                  ","Solid Stream            ","Spraying Systems    "
"D4-23               ","Disc-Core               ","Spraying Systems    "
"D4-45               ","Disc-Core               ","Spraying Systems    "
"D4-46               ","Disc-Core               ","Spraying Systems    "
"D6                  ","Solid Stream            ","Spraying Systems    "
"D6-25               ","Disc-Core               ","Spraying Systems    "
"D6-45               ","Disc-Core               ","Spraying Systems    "
"D6-46               ","Disc-Core               ","Spraying Systems    "
"D8                  ","Solid Stream            ","Spraying Systems    "
"D8-45               ","Disc-Core               ","Spraying Systems    "
"D8-46               ","Disc-Core               ","Spraying Systems    "
"D10                 ","Solid Stream            ","Spraying Systems    "
"D10-25              ","Disc-Core               ","Spraying Systems    "
"D10-45              ","Disc-Core               ","Spraying Systems    "
"D10-46              ","Disc-Core               ","Spraying Systems    "
"D12-56              ","Disc-Core               ","Spraying Systems    "
"D14-25              ","Disc-Core               ","Spraying Systems    "
"D14-45              ","Disc-Core               ","Spraying Systems    "
"Delavan LFR4-80     ","Flat Fan                ","Delavan             "
"DG8002              ","Flat Fan                ","Spraying Systems    "
"DG8004              ","Flat Fan                ","Spraying Systems    "
"DG8005              ","Flat Fan                ","Spraying Systems    "
"Hardi 1553-18       ","Flat Fan                ","Hardi               "
"Hardi 2080-20       ","Flat Fan                ","Hardi               "
"Hardi 4110-24       ","Flat Fan                ","Hardi               "
"M. LUND #6          ","Solid Stream            ","Lund                "
"M. LUND #8          ","Solid Stream            ","Lund                "
"Micromax 2000rpm    ","Spinning Disc           ","Micron              "
"QCRFLD15            ","Deflector               ","Delavan             "
"QCTF-15VS           ","Deflector               ","Spraying Systems    "
"RA-4                ","Hollow Cone             ","Delavan             "
"RA-6                ","Hollow Cone             ","Delavan             "
"RD-4                ","Disc-Core               ","Delavan             "
"RD-7/D8-45          ","Disc-Core               ","Delavan             "
"RD-7/D8-46          ","Disc-Core               ","Delavan             "
"RD-9                ","Disc-Core               ","Delavan             "
"RD-10/D8-46         ","Disc-Core               ","Delavan             "
"RD-10/D10-45        ","Disc-Core               ","Delavan             "
