"Default ", 40.0,  0.9, 1.000,    4.30
"Minimum ", 25.0,  0.9, 0.780,    0.90
"Average ", 53.9,  3.6, 1.017,  140.74
"Maximum ", 80.0, 54.0, 1.350, 2296.15
"IWS-0001", 72.0,  1.0, 1.000,    3.00
"IWS-0013", 49.0,  1.0, 1.004,    8.00
"IWS-0014", 52.0,  1.0, 1.001,    8.10
"IWS-0015", 67.0,  1.0, 1.004,    6.20
"IWS-0033", 50.0,  2.3, 1.003,   49.00
"IWS-0035", 62.0,  2.6, 1.010,  259.75
"IWS-0037", 49.0,  6.7, 1.014,  236.50
"IWS-0038", 50.0,  6.6, 1.011, 2296.15
"IWS-0039", 65.0,  6.0, 1.019,  360.60
"IWS-0040", 61.0,  6.7, 1.019, 1756.10
"IWS-0041", 58.0,  4.2, 1.014,    7.15
"IWS-0043", 32.0,  4.5, 0.975, 1233.90
"IWS-0044", 62.0,  4.2, 1.015,  878.20
"IWS-0046", 57.0,  8.8, 1.023, 1165.10
"IWS-0047", 60.0,  4.5, 1.013,  144.90
"IWS-0048", 51.0,  3.0, 1.005,   17.70
"IWS-0049", 50.0,  7.1, 1.015,   46.15
"IWS-0050", 61.0,  2.9, 1.011,   21.75
"IWS-0051", 61.0,  6.4, 1.020,   30.70
"AWE-0054", 51.0,  1.1, 1.005,   11.30
"AWE-0057", 34.0,  1.5, 1.000,   13.95
"AWE-0058", 37.0,  2.5, 1.000, 1420.50
"AWE-0059", 53.0,  1.6, 1.000,   14.90
"AWE-0060", 54.0,  2.0, 1.000,  527.80
"AWX-0061", 59.0,  1.9, 1.000,    6.45
"IWS-0069", 73.0,  1.0, 0.997,    3.00
"IWS-0070", 53.0,  1.1, 0.998,    8.15
"AWD-0071", 62.0,  3.2, 1.106,    3.50
"AWD-0072", 38.0,  3.2, 1.107,    5.75
"IWE-0073", 37.0,  1.3, 1.000,    9.10
"IWS-0074", 73.0,  1.3, 0.998,  836.95
"IWS-0075", 32.0,  1.8, 0.975,    5.95
"IWS-0076", 33.0,  2.1, 0.976,  811.25
"AWD-0077", 52.0,  1.7, 1.018,    4.40
"AWD-0078", 65.0,  1.1, 1.020,    1.20
"AWD-0079", 53.0,  1.2, 1.021,    6.95
"AWD-0080", 72.0,  1.1, 0.998,   11.00
"AWE-0081", 45.0,  1.0, 0.998,    4.40
"AWE-0082", 44.0,  1.0, 1.000,    9.80
"AWE-0083", 39.0,  1.4, 1.000,  313.45
"AWS-0084", 40.0,  1.0, 1.015,   12.90
"AWS-0085", 40.0,  1.7, 1.043,   11.75
"AWS-0087", 40.0,  1.5, 1.000,    7.35
"AWD-0088", 75.0,  0.9, 1.000,   10.70
"AWD-0089", 73.0,  1.0, 1.000,    8.60
"AWD-0090", 75.0,  1.1, 0.998,    1.10
"AWE-0091", 41.0,  1.4, 1.056,    3.20
"AWS-0092", 58.0,  1.3, 1.022,   10.25
"AWS-0093", 46.0,  1.4, 1.018,   12.20
"AWS-0094", 46.0,  3.8, 1.081,   19.40
"AWS-0095", 60.0,  2.4, 1.074,   14.40
"AWD-0096", 52.0,  2.3, 1.051,    6.00
"AWD-0097", 54.0,  1.5, 1.017,   12.15
"AWD-0098", 48.0,  1.5, 1.041,    4.80
"AWD-0099", 57.0,  1.0, 1.007,    3.50
"AWD-0100", 73.0,  1.0, 1.002,    2.40
"AWD-0101", 73.0,  1.0, 0.998,    9.40
"AWD-0102", 39.0,  1.4, 1.013,   10.10
"AWE-0103", 40.0,  1.8, 1.010,    9.70
"AWD-0104", 58.0,  2.0, 1.094,    4.20
"AWS-0105", 29.0,  1.2, 0.987,    5.05
"AWE-0106", 45.0,  2.1, 1.023,   12.60
"AWE-0107", 54.0,  0.9, 0.998,   10.70
"AWE-0108", 46.0,  1.0, 0.998,    7.40
"AWD-0109", 71.0,  1.0, 0.998,   10.40
"AWE-0110", 33.0,  4.9, 0.993,    8.80
"AWD-0111", 64.0,  8.9, 1.054,   37.40
"AWD-0112", 68.0,  1.0, 0.997,   11.80
"AWD-0113", 72.0,  1.0, 0.999,    4.40
"AWE-0114", 43.0,  1.1, 0.997,    6.80
"AWE-0115", 43.0,  1.3, 0.999,    1.30
"AWD-0116", 66.0,  0.9, 1.000,    0.90
"AWE-0117", 40.0,  1.4, 1.007,    4.60
"AWD-0118", 43.0,  2.7, 1.024,    2.70
"AWD-0119", 44.0,  1.5, 1.021,    7.05
"AWD-0120", 65.0,  2.0, 1.015,   14.60
"AWD-0121", 67.0,  3.3, 1.016, 1256.30
"AWD-0122", 80.0,  2.1, 1.065,  332.60
"AWD-0123", 59.0,  2.1, 1.066,   40.30
"AWD-0124", 69.0,  4.5, 1.151,   15.75
"AWD-0125", 73.0, 16.2, 1.350,   38.90
"AWD-0126", 69.0, 10.1, 1.058,   55.55
"AWS-0127", 71.0,  3.5, 1.286,    7.70
"AWE-0160", 43.0,  1.2, 1.003,    5.65
"AWD-0167", 75.0,  1.0, 0.998,    6.60
"AWE-0169", 70.0,  1.0, 0.999,    8.30
"AWE-0170", 74.0,  1.0, 0.998,   10.70
"AWS-0180", 40.0,  1.9, 1.044,   58.90
"AWS-0181", 38.0,  1.8, 1.044,   56.70
"AWD-0183", 52.0,  1.6, 1.018,    1.30
"AWD-0184", 47.0,  1.5, 1.017,   10.95
"AWD-0185", 45.0,  1.7, 1.010,   12.60
"AWS-0186", 40.0,  1.8, 1.044,   54.20
"AWS-0187", 54.0,  2.4, 1.075,    8.40
"AWS-0188", 66.0,  1.3, 1.014,    9.10
"IWS-0189", 62.0,  3.1, 1.008,   10.55
"IWS-0190", 35.0,  3.4, 0.981,   18.00
"IWS-0191", 37.0, 14.0, 0.998,   50.40
"IWS-0192", 38.0, 13.5, 1.104,   36.45
"IWS-0193", 64.0,  1.1, 1.001,    4.95
"IWS-0194", 58.0,  8.1, 1.024,   21.05
"IWS-0195", 61.0,  2.7, 1.013,   15.95
"IWS-0196", 59.0,  4.2, 1.017,   11.35
"IWS-0197", 61.0,  5.7, 1.021,   14.25
"IWS-0198", 52.0,  2.4, 1.004,   66.50
"IWS-0199", 51.0,  6.3, 1.016,  146.15
"IWS-0200", 63.0,  1.2, 1.002,  151.90
"IWS-0201", 58.0,  4.1, 1.015,  102.90
"IWS-0202", 56.0,  7.8, 1.023,   29.65
"IWS-0203", 61.0,  2.4, 1.011,  112.30
"IWS-0204", 59.0,  5.3, 1.021,  119.25
"IWS-0205", 62.0,  2.5, 1.012,  125.75
"IWS-0206", 69.0,  3.9, 1.017,  107.25
"IWS-0207", 58.0,  4.1, 1.014,  278.00
"IOS-0208", 25.0,  2.9, 0.780,   15.35
"IOS-0209", 31.0, 13.3, 0.841,   43.90
"IOS-0210", 32.0, 22.4, 0.856,   94.10
"IOS-0212", 34.0, 54.0, 0.930,  162.00
